lower_kinetic_ip_1,upper_kinetic_ip_1,lower_kinetic_ip_2,upper_kinetic_ip_2,lower_kinetic_ip_3,upper_kinetic_ip_3,lower_kinetic_ip_4,upper_kinetic_ip_4,lower_kinetic_ip_5,upper_kinetic_ip_5
23.333897836180945,24.470938311964996,0.0,0.5870970702563646,0.0,0.5871014905001528,0.3999755127880776,0.39997551278807864,115.51278807808934,115.51278807808939
41.450696042334144,44.63455920921447,0.0,1.6581525173813942,0.0,1.6581683168838801,0.39995530944354374,0.3999553094435472,95.3094435454497,95.30944354544981
55.28606469209747,61.23823041005986,0.0,3.1277441273138527,0.0,3.127780998909912,0.3999386402648291,0.39993864026483883,78.64026483394069,78.64026483394093
65.61399258112925,74.90093037316858,0.0,4.9246579073564485,0.0,4.924730296013799,0.3999248868382529,0.39992488683827754,64.88683826517851,64.88683826517902
73.074444338936,86.13500328775694,0.0,6.990323260415908,0.0,6.990444446715211,0.3999135390194859,0.3999135390195477,53.539019516767794,53.53901951676881
78.19545705855566,95.36432626481538,0.0,9.278090531511754,0.0,9.278275347410169,0.3999041759595539,0.39990417595970323,44.175959628551716,44.175959628553755
81.41255791269377,102.93944695773071,0.0,11.748473584977411,0.0,11.748737587169147,0.399896450461928,0.39989645046228933,36.45046210862964,36.45046210863371
83.0846785407744,109.15017463189601,0.0,14.367876840531421,0.0,14.368237683825946,0.3998900760839954,0.3998900760848686,30.076084431962524,30.076084431970646
83.5074525502186,114.23604077488247,0.0,17.10928341550995,0.0,17.109759575004336,0.39988481650011,0.3998848165022188,24.816501164369846,24.81650116438603
82.92401063944433,118.39497960685571,0.0,19.95046214522893,0.0,19.951072770220105,0.39988047672873356,0.3998804767338254,20.47673127942382,20.476731279456065
81.53426357862108,121.79052365763616,0.0,22.87309708255916,0.0,22.87386187195823,0.39987689589620895,0.39987689590850317,16.8959023559836,16.895902356047838
79.50241116573463,124.55776418977132,0.0,25.862115551987745,0.0,25.863054652794947,0.39987394126716264,0.3998739412968452,13.941282003804115,13.941282003932077
76.96323851521937,126.80827073641503,0.0,28.88135694471565,0.0,28.88250425065959,0.3998715033184765,0.39987150339013644,11.50335430627739,11.5033543065323
74.0272325650539,128.63417413390664,0.0,31.91939225934697,0.0,31.920767017050682,0.3998694916716216,0.3998694918446249,9.491758122945184,9.491758123452973
70.78484864931339,130.1115588676941,0.0,34.972288416309084,0.0,34.97390996106899,0.39986783172742324,0.3998678321450902,7.831936256160726,7.831936257172265
67.31003353279796,131.30325706547262,0.0,38.036837550897246,0.0,38.03872528776879,0.3998664618668143,0.3998664628751505,6.462370981341387,6.462370983356413
63.66315697033151,132.26115464826086,0.0,41.110430887359385,0.0,41.1126042757798,0.39986533108610695,0.3998653335204435,5.332303273173736,5.332303277187753
59.893376241167,133.0280969634166,0.0,44.190954471525636,0.0,44.193433012859145,0.39986439691255765,0.3998644027895613,4.399851055427696,4.39985106342379
56.04063745791489,133.63946310362894,0.0,47.276702989581274,0.0,47.27950621707727,0.39986362336247966,0.39986363755081056,3.6304566370807803,3.6304566530093454
52.1373095323775,134.12446633383087,0.0,50.36630855431835,0.0,50.36945602506285,0.399862978478926,0.39986301273256414,2.9956057291470426,2.9956057608774453
48.209531502804694,134.50722814614795,0.0,53.45868186626146,0.0,53.46219315477462,0.3998624304227773,0.3998625131183322,2.4717705230765645,2.471770586284942
44.280042867926234,134.807662328598,0.0,56.552963604527974,0.0,56.55685829772082,0.39986193971536393,0.39986213936002196,2.039537629888854,2.0395377558028
40.36399550887632,135.04221298112026,0.0,59.648484399444584,0.0,59.65278209273737,0.3998615830663987,0.39986178271093187,1.682888539738837,1.682888790565163
36.4746955126937,135.2244651091527,0.0,62.75832082078426,0.0,62.7630412990491,0.39986128878394195,0.39986148842839786,1.3886060056756662,1.3886063338778605
32.622625372199906,135.36564990001744,0.0,65.89278668761561,0.0,65.89794997035075,0.3998610459620271,0.39986124560644043,1.1457840482162867,1.1457844190634145
28.81598143456015,135.47504868407546,0.0,69.05133684358483,0.0,69.05696310293837,0.3998608456018207,0.39986104524621646,0.9454238241894825,0.9454242127312037
25.060743467684368,135.56032795460018,0.0,72.23347177545944,0.0,72.23958246153897,0.3998606802781153,0.39986087992251096,0.7801001186564345,0.7801005073643977
21.361696526577518,135.62781978176025,0.0,75.43873037639044,0.0,75.44534716277632,0.39986054386414527,0.39986074350855283,0.6436861604940968,0.6436865374291502
17.72239769050914,135.68275386997345,0.0,78.66668593269645,0.0,78.67383064500406,0.39986043130452664,0.39986063094895385,0.5311265614477236,0.5311269188411653
14.145366152239745,135.72944923918962,0.0,81.91694270155307,0.0,81.92463731468344,0.3998603384279035,0.399860538072355,0.4382499625540579,0.4382502957141649
10.632283357919597,135.77146331237128,0.0,85.17417271592312,0.0,85.18244135992153,0.399860261792358,0.39986046143683635,0.3616144438191301,0.3616147502925877
7.184160113085525,135.81171999209752,0.0,88.43237401633971,0.0,88.44123865107213,0.3998601985578541,0.39986039820236013,0.2983799675251043,0.29838024645762323
3.801451676864147,135.8526264966278,0.0,91.69155585241732,0.0,91.70103844409478,0.3998601463809868,0.39986034602552023,0.2462031275949606,0.24620337924706143
0.4849886146686515,135.89616369329926,0.0,94.95155557295502,0.0,94.96167806425193,0.39986010332813715,0.3998603029726969,0.20315030422982583,0.20315052961307495
0.0,135.9370990101922,0.0,98.21274410066201,0.0,98.22352851208296,0.3998600678038133,0.399860267448398,0.16762600521353488,0.16762620581991194
